time_period,time_identifier,geographic_level,country_code,country_name,pcon_code,pcon_name,version,level_methodology,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,,,Revised,School location,State-funded schools (LA),4047,603613,28021588.2,46.4,581028,96.3,274601,45.5,394598,65.4,237778,39.4,103044,17.1,146727,24.3,2454408.55,4.07,568530,-14980.702,-0.03,-0.03,-0.02
202223,Academic year,Parliamentary constituency,E92000001,England,E14000530,Aldershot,Revised,School location,State-funded schools (LA),6,712,29172.25,41,675,94.8,257,36.1,404,56.7,208,29.2,107,15,141,19.8,2605.54,3.66,671,-421.451,-0.63,-0.74,-0.52
202223,Academic year,Parliamentary constituency,E92000001,England,E14000531,Aldridge-Brownhills,Revised,School location,State-funded schools (LA),7,1296,55049.5,42.5,1253,96.7,466,36,757,58.4,484,37.3,112,8.6,193,14.9,4635.67,3.58,1268,-450.708,-0.36,-0.43,-0.28
202223,Academic year,Parliamentary constituency,E92000001,England,E14000532,Altrincham and Sale West,Revised,School location,State-funded schools (LA),10,1838,109512.34,59.6,1805,98.2,1242,67.6,1525,83,963,52.4,618,33.6,775,42.2,9916.89,5.4,1658,658.094,0.4,0.33,0.46
202223,Academic year,Parliamentary constituency,E92000001,England,E14000533,Amber Valley,Revised,School location,State-funded schools (LA),9,970,42251.25,43.6,932,96.1,379,39.1,584,60.2,380,39.2,152,15.7,209,21.5,3698.44,3.81,953,-138.023,-0.14,-0.23,-0.06
202223,Academic year,Parliamentary constituency,E92000001,England,E14000534,Arundel and South Downs,Revised,School location,State-funded schools (LA),5,1120,53641.75,47.9,1095,97.8,521,46.5,762,68,385,34.4,171,15.3,255,22.8,4632.64,4.14,1075,86.798,0.08,0,0.17
202223,Academic year,Parliamentary constituency,E92000001,England,E14000535,Ashfield,Revised,School location,State-funded schools (LA),8,1185,49964.75,42.2,1145,96.6,426,35.9,681,57.5,550,46.4,135,11.4,228,19.2,4353.27,3.67,1162,-314.445,-0.27,-0.35,-0.19
202223,Academic year,Parliamentary constituency,E92000001,England,E14000536,Ashford,Revised,School location,State-funded schools (LA),9,1507,69126,45.9,1448,96.1,665,44.1,972,64.5,679,45.1,321,21.3,461,30.6,6139.08,4.07,1413,-110.148,-0.08,-0.15,0
202223,Academic year,Parliamentary constituency,E92000001,England,E14000537,Ashton-under-Lyne,Revised,School location,State-funded schools (LA),7,1264,57659.25,45.6,1206,95.4,572,45.3,819,64.8,530,41.9,193,15.3,299,23.7,5033.11,3.98,1215,32.225,0.03,-0.05,0.11
202223,Academic year,Parliamentary constituency,E92000001,England,E14000538,Aylesbury,Revised,School location,State-funded schools (LA),11,1492,78072,52.3,1421,95.2,818,54.8,1052,70.5,478,32,318,21.3,387,25.9,6697.51,4.49,1413,94.423,0.07,-0.01,0.14
202223,Academic year,Parliamentary constituency,E92000001,England,E14000539,Banbury,Revised,School location,State-funded schools (LA),10,1328,55894,42.1,1276,96.1,505,38,757,57,547,41.2,174,13.1,264,19.9,4987.02,3.76,1246,-309.218,-0.25,-0.33,-0.17
202223,Academic year,Parliamentary constituency,E92000001,England,E14000540,Barking,Revised,School location,State-funded schools (LA),8,1772,86986.5,49.1,1728,97.5,878,49.5,1196,67.5,836,47.2,352,19.9,499,28.2,7664.47,4.33,1648,596.099,0.36,0.29,0.43
202223,Academic year,Parliamentary constituency,E92000001,England,E14000541,Barnsley Central,Revised,School location,State-funded schools (LA),6,696,25814.75,37.1,628,90.2,246,35.3,376,54,230,33,91,13.1,142,20.4,2244.58,3.22,664,-308.751,-0.46,-0.57,-0.36
